Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
800,2003,0.35,2.28,127000,Petrol,Individual,Manual,0
alto k10,2016,3.00,3.76,10079,Petrol,Dealer,Manual,0
sx4,2003,2.25,7.98,62000,Petrol,Dealer,Manual,0
baleno,2016,5.85,7.87,24524,Petrol,Dealer,Automatic,0
alto k10,2014,2.55,3.98,46706,Petrol,Dealer,Manual,0
sx4,2008,1.95,7.15,58000,Petrol,Dealer,Manual,0
dzire,2014,5.50,8.06,45780,Diesel,Dealer,Manual,0
omni,2012,1.25,2.69,50000,Petrol,Dealer,Manual,0
ciaz,2014,7.50,12.04,15000,Petrol,Dealer,Automatic,0
ritz,2013,2.65,4.89,64532,Petrol,Dealer,Manual,0
wagon r,2006,1.05,4.15,65000,Petrol,Dealer,Manual,0
ertiga,2015,5.80,7.71,25870,Petrol,Dealer,Manual,0
ciaz,2017,7.75,9.29,37000,Petrol,Dealer,Automatic,0
fortuner,2012,14.90,30.61,104707,Diesel,Dealer,Automatic,0
fortuner,2015,23.00,30.61,40000,Diesel,Dealer,Automatic,0
innova,2017,18.00,19.77,15000,Diesel,Dealer,Automatic,0
fortuner,2013,16.00,30.61,135000,Diesel,Individual,Automatic,0
innova,2005,2.75,10.21,90000,Petrol,Individual,Manual,0
corolla altis,2009,3.60,15.04,70000,Petrol,Dealer,Automatic,0
etios cross,2015,4.50,7.27,40534,Petrol,Dealer,Manual,0
corolla altis,2010,4.75,18.54,50000,Petrol,Dealer,Manual,0
etios g,2014,4.10,6.80,39485,Petrol,Dealer,Manual,1
fortuner,2014,19.99,35.96,41000,Diesel,Dealer,Automatic,0
corolla altis,2013,6.95,18.61,40001,Petrol,Dealer,Manual,0
etios cross,2015,4.50,7.70,40588,Petrol,Dealer,Manual,0
fortuner,2014,18.75,35.96,78000,Diesel,Dealer,Automatic,0
fortuner,2015,23.50,35.96,47000,Diesel,Dealer,Automatic,0
fortuner,2017,33.00,36.23,6000,Diesel,Dealer,Automatic,0
etios liva,2014,4.75,6.95,45000,Diesel,Dealer,Manual,0
innova,2017,19.75,23.15,11000,Petrol,Dealer,Automatic,0
fortuner,2010,9.25,20.45,59000,Diesel,Dealer,Manual,0
corolla altis,2011,4.35,13.74,88000,Petrol,Dealer,Manual,0
corolla altis,2016,14.25,20.91,12000,Petrol,Dealer,Manual,0
etios liva,2014,3.95,6.76,71000,Diesel,Dealer,Manual,0
corolla altis,2011,4.50,12.48,45000,Diesel,Dealer,Manual,0
corolla altis,2013,7.45,18.61,56001,Petrol,Dealer,Manual,0
etios liva,2011,2.65,5.71,43000,Petrol,Dealer,Manual,0
etios cross,2014,4.90,8.93,83000,Diesel,Dealer,Manual,0
etios g,2015,3.95,6.80,36000,Petrol,Dealer,Manual,0
corolla altis,2013,5.50,14.68,72000,Petrol,Dealer,Manual,0
corolla,2004,1.50,12.35,135154,Petrol,Dealer,Automatic,0
corolla altis,2010,5.25,22.83,80000,Petrol,Dealer,Automatic,0
fortuner,2012,14.50,30.61,89000,Diesel,Dealer,Automatic,0
corolla altis,2016,14.73,14.89,23000,Diesel,Dealer,Manual,0
etios gd,2015,4.75,7.85,40000,Diesel,Dealer,Manual,0
innova,2017,23.00,25.39,15000,Diesel,Dealer,Automatic,0
innova,2015,12.50,13.46,38000,Diesel,Dealer,Manual,0
innova,2005,3.49,13.46,197176,Diesel,Dealer,Manual,0
camry,2006,2.50,23.73,142000,Petrol,Individual,Automatic,3
land cruiser,2010,35.00,92.60,78000,Diesel,Dealer,Manual,0
corolla altis,2012,5.90,13.74,56000,Petrol,Dealer,Manual,0
etios liva,2013,3.45,6.05,47000,Petrol,Dealer,Manual,0
etios g,2014,4.75,6.76,40000,Petrol,Dealer,Manual,0
corolla altis,2009,3.80,18.61,62000,Petrol,Dealer,Manual,0
innova,2014,11.25,16.09,58242,Diesel,Dealer,Manual,0
innova,2005,3.51,13.70,75000,Petrol,Dealer,Manual,0
fortuner,2015,23.00,30.61,40000,Diesel,Dealer,Automatic,0
corolla altis,2008,4.00,22.78,89000,Petrol,Dealer,Automatic,0
corolla altis,2012,5.85,18.61,72000,Petrol,Dealer,Manual,0
innova,2016,20.75,25.39,29000,Diesel,Dealer,Automatic,0
corolla altis,2017,17.00,18.64,8700,Petrol,Dealer,Manual,0
corolla altis,2013,7.05,18.61,45000,Petrol,Dealer,Manual,0
fortuner,2010,9.65,20.45,50024,Diesel,Dealer,Manual,0
Royal Enfield Thunder 500,2016,1.75,1.90,3000,Petrol,Individual,Manual,0
UM Renegade Mojave,2017,1.70,1.82,1400,Petrol,Individual,Manual,0
KTM RC200,2017,1.65,1.78,4000,Petrol,Individual,Manual,0
Bajaj Dominar 400,2017,1.45,1.60,1200,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2017,1.35,1.47,4100,Petrol,Individual,Manual,0
KTM RC390,2015,1.35,2.37,21700,Petrol,Individual,Manual,0
Hyosung GT250R,2014,1.35,3.45,16500,Petrol,Individual,Manual,1
Royal Enfield Thunder 350,2013,1.25,1.50,15000,Petrol,Individual,Manual,0
Royal Enfield Thunder 350,2016,1.20,1.50,18000,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2017,1.20,1.47,11000,Petrol,Individual,Manual,0
KTM RC200,2016,1.20,1.78,6000,Petrol,Individual,Manual,0
Royal Enfield Thunder 350,2016,1.15,1.50,8700,Petrol,Individual,Manual,0
KTM 390 Duke,2014,1.15,2.40,7000,Petrol,Individual,Manual,0
Mahindra Mojo XT300,2016,1.15,1.40,35000,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2015,1.15,1.47,17000,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2015,1.11,1.47,17500,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2013,1.10,1.47,33000,Petrol,Individual,Manual,0
Royal Enfield Thunder 500,2015,1.10,1.90,14000,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2015,1.10,1.47,26000,Petrol,Individual,Manual,0
Royal Enfield Thunder 500,2013,1.05,1.90,5400,Petrol,Individual,Manual,0
Bajaj Pulsar RS200,2016,1.05,1.26,5700,Petrol,Individual,Manual,0
Royal Enfield Thunder 350,2011,1.05,1.50,6900,Petrol,Individual,Manual,0
Royal Enfield Bullet 350,2016,1.05,1.17,6000,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2013,1.00,1.47,46500,Petrol,Individual,Manual,0
Royal Enfield Classic 500,2012,0.95,1.75,11500,Petrol,Individual,Manual,0
Royal Enfield Classic 500,2009,0.90,1.75,40000,Petrol,Individual,Manual,0
Bajaj Avenger 220,2017,0.90,0.95,1300,Petrol,Individual,Manual,0
Bajaj Avenger 150,2016,0.75,0.80,7000,Petrol,Individual,Manual,0
Honda CB Hornet 160R,2017,0.80,0.87,3000,Petrol,Individual,Manual,0
Yamaha FZ S V 2.0,2017,0.78,0.84,5000,Petrol,Individual,Manual,0
Honda CB Hornet 160R,2017,0.75,0.87,11000,Petrol,Individual,Manual,0
Yamaha FZ 16,2015,0.75,0.82,18000,Petrol,Individual,Manual,0
Bajaj Avenger 220,2017,0.75,0.95,3500,Petrol,Individual,Manual,0
Bajaj Avenger 220,2016,0.72,0.95,500,Petrol,Individual,Manual,0
TVS Apache RTR 160,2017,0.65,0.81,11800,Petrol,Individual,Manual,0
Bajaj Pulsar 150,2015,0.65,0.74,5000,Petrol,Individual,Manual,0
Honda CBR 150,2014,0.65,1.20,23500,Petrol,Individual,Manual,0
Hero Extreme,2013,0.65,0.79,16000,Petrol,Individual,Manual,0
Honda CB Hornet 160R,2016,0.60,0.87,15000,Petrol,Individual,Manual,0
Bajaj Avenger 220 dtsi,2015,0.60,0.95,16600,Petrol,Individual,Manual,0
Honda CBR 150,2013,0.60,1.20,32000,Petrol,Individual,Manual,0
Bajaj Avenger 150 street,2016,0.60,0.80,20000,Petrol,Individual,Manual,0
Yamaha FZ v 2.0,2015,0.60,0.84,29000,Petrol,Individual,Manual,0
Yamaha FZ v 2.0,2016,0.60,0.84,25000,Petrol,Individual,Manual,0
Bajaj Pulsar NS 200,2014,0.60,0.99,25000,Petrol,Individual,Manual,0
TVS Apache RTR 160,2012,0.60,0.81,19000,Petrol,Individual,Manual,0
Hero Extreme,2014,0.55,0.79,15000,Petrol,Individual,Manual,0
Yamaha FZ S V 2.0,2015,0.55,0.84,58000,Petrol,Individual,Manual,0
Bajaj Pulsar 220 F,2010,0.52,0.94,45000,Petrol,Individual,Manual,0
Bajaj Pulsar 220 F,2016,0.51,0.94,24000,Petrol,Individual,Manual,0
TVS Apache RTR 180,2011,0.50,0.83,6000,Petrol,Individual,Manual,0
Hero Passion X pro,2016,0.50,0.55,31000,Petrol,Individual,Manual,0
Bajaj Pulsar NS 200,2012,0.50,0.99,13000,Petrol,Individual,Manual,0
Bajaj Pulsar NS 200,2013,0.50,0.99,45000,Petrol,Individual,Manual,0
Yamaha Fazer,2014,0.50,0.88,8000,Petrol,Individual,Manual,0
Honda Activa 4G,2017,0.48,0.51,4300,Petrol,Individual,Automatic,0
TVS Sport,2017,0.48,0.52,15000,Petrol,Individual,Manual,0
Yamaha FZ S V 2.0,2015,0.48,0.84,23000,Petrol,Individual,Manual,0
Honda Dream Yuga,2017,0.48,0.54,8600,Petrol,Individual,Manual,0
Honda Activa 4G,2017,0.45,0.51,4000,Petrol,Individual,Automatic,0
Bajaj Avenger Street 220,2011,0.45,0.95,24000,Petrol,Individual,Manual,0
TVS Apache RTR 180,2014,0.45,0.83,23000,Petrol,Individual,Manual,0
Bajaj Pulsar NS 200,2012,0.45,0.99,14500,Petrol,Individual,Manual,0
Bajaj Avenger 220 dtsi,2010,0.45,0.95,27000,Petrol,Individual,Manual,0
Hero Splender iSmart,2016,0.45,0.54,14000,Petrol,Individual,Manual,0
Activa 3g,2016,0.45,0.54,500,Petrol,Individual,Automatic,0
Hero Passion Pro,2016,0.45,0.55,1000,Petrol,Individual,Manual,0
TVS Apache RTR 160,2014,0.42,0.81,42000,Petrol,Individual,Manual,0
Honda CB Trigger,2013,0.42,0.73,12000,Petrol,Individual,Manual,0
Hero Splender iSmart,2015,0.40,0.54,14000,Petrol,Individual,Manual,0
Yamaha FZ S,2012,0.40,0.83,5500,Petrol,Individual,Manual,0
Hero Passion Pro,2015,0.40,0.55,6700,Petrol,Individual,Manual,0
Bajaj Pulsar 135 LS,2014,0.40,0.64,13700,Petrol,Individual,Manual,0
Activa 4g,2017,0.40,0.51,1300,Petrol,Individual,Automatic,0
Honda CB Unicorn,2015,0.38,0.72,38600,Petrol,Individual,Manual,0
Hero Honda CBZ extreme,2011,0.38,0.79,75000,Petrol,Individual,Manual,0
Honda Karizma,2011,0.35,1.05,30000,Petrol,Individual,Manual,0
Honda Activa 125,2016,0.35,0.57,24000,Petrol,Individual,Automatic,0
TVS Jupyter,2014,0.35,0.52,19000,Petrol,Individual,Automatic,0
Honda Karizma,2010,0.31,1.05,213000,Petrol,Individual,Manual,0
Hero Honda Passion Pro,2012,0.30,0.51,60000,Petrol,Individual,Manual,0
Hero Splender Plus,2016,0.30,0.48,50000,Petrol,Individual,Manual,0
Honda CB Shine,2013,0.30,0.58,30000,Petrol,Individual,Manual,0
Bajaj Discover 100,2013,0.27,0.47,21000,Petrol,Individual,Manual,0
Bajaj Pulsar 150,2008,0.25,0.75,26000,Petrol,Individual,Manual,1
Suzuki Access 125,2008,0.25,0.58,1900,Petrol,Individual,Automatic,0
TVS Wego,2010,0.25,0.52,22000,Petrol,Individual,Automatic,0
Honda CB twister,2013,0.25,0.51,32000,Petrol,Individual,Manual,0
Hero Glamour,2013,0.25,0.57,18000,Petrol,Individual,Manual,0
Hero Super Splendor,2005,0.20,0.57,55000,Petrol,Individual,Manual,0
Bajaj Pulsar 150,2008,0.20,0.75,60000,Petrol,Individual,Manual,0
Bajaj Discover 125,2012,0.20,0.57,25000,Petrol,Individual,Manual,1
Hero Hunk,2007,0.20,0.75,49000,Petrol,Individual,Manual,1
Hero Ignitor Disc,2013,0.20,0.65,24000,Petrol,Individual,Manual,1
Hero CBZ Xtreme,2008,0.20,0.79,50000,Petrol,Individual,Manual,0
Bajaj ct 100,2015,0.18,0.32,35000,Petrol,Individual,Manual,0
Activa 3g,2008,0.17,0.52,500000,Petrol,Individual,Automatic,0
Honda CB twister,2010,0.16,0.51,33000,Petrol,Individual,Manual,0
Bajaj Discover 125,2011,0.15,0.57,35000,Petrol,Individual,Manual,1
Honda CB Shine,2007,0.12,0.58,53000,Petrol,Individual,Manual,0
Bajaj Pulsar 150,2006,0.10,0.75,92233,Petrol,Individual,Manual,0
i20,2010,3.25,6.79,58000,Diesel,Dealer,Manual,1
grand i10,2015,4.40,5.70,28200,Petrol,Dealer,Manual,0
i10,2011,2.95,4.60,53460,Petrol,Dealer,Manual,0
eon,2015,2.75,4.43,28282,Petrol,Dealer,Manual,0
grand i10,2016,5.25,5.70,3493,Petrol,Dealer,Manual,1
xcent,2017,5.75,7.13,12479,Petrol,Dealer,Manual,0
grand i10,2015,5.15,5.70,34797,Petrol,Dealer,Automatic,0
i20,2017,7.90,8.10,3435,Petrol,Dealer,Manual,0
grand i10,2015,4.85,5.70,21125,Diesel,Dealer,Manual,0
i10,2012,3.10,4.60,35775,Petrol,Dealer,Manual,0
elantra,2015,11.75,14.79,43535,Diesel,Dealer,Manual,0
creta,2016,11.25,13.60,22671,Petrol,Dealer,Manual,0
i20,2011,2.90,6.79,31604,Petrol,Dealer,Manual,0
grand i10,2017,5.25,5.70,20114,Petrol,Dealer,Manual,0
verna,2012,4.50,9.40,36100,Petrol,Dealer,Manual,0
eon,2016,2.90,4.43,12500,Petrol,Dealer,Manual,0
eon,2016,3.15,4.43,15000,Petrol,Dealer,Manual,0
verna,2014,6.45,9.40,45078,Petrol,Dealer,Manual,0
verna,2012,4.50,9.40,36000,Petrol,Dealer,Manual,0
eon,2017,3.50,4.43,38488,Petrol,Dealer,Manual,0
i20,2013,4.50,6.79,32000,Petrol,Dealer,Automatic,0
i20,2014,6.00,7.60,77632,Diesel,Dealer,Manual,0
verna,2015,8.25,9.40,61381,Diesel,Dealer,Manual,0
verna,2013,5.11,9.40,36198,Petrol,Dealer,Automatic,0
i10,2011,2.70,4.60,22517,Petrol,Dealer,Manual,0
grand i10,2015,5.25,5.70,24678,Petrol,Dealer,Manual,0
i10,2011,2.55,4.43,57000,Petrol,Dealer,Manual,0
verna,2012,4.95,9.40,60000,Diesel,Dealer,Manual,0
i20,2012,3.10,6.79,52132,Diesel,Dealer,Manual,0
verna,2013,6.15,9.40,45000,Diesel,Dealer,Manual,0
verna,2017,9.25,9.40,15001,Petrol,Dealer,Manual,0
elantra,2015,11.45,14.79,12900,Petrol,Dealer,Automatic,0
grand i10,2013,3.90,5.70,53000,Diesel,Dealer,Manual,0
grand i10,2015,5.50,5.70,4492,Petrol,Dealer,Manual,0
verna,2017,9.10,9.40,15141,Petrol,Dealer,Manual,0
eon,2016,3.10,4.43,11849,Petrol,Dealer,Manual,0
creta,2015,11.25,13.60,68000,Diesel,Dealer,Manual,0
verna,2013,4.80,9.40,60241,Petrol,Dealer,Manual,0
eon,2012,2.00,4.43,23709,Petrol,Dealer,Manual,0
verna,2012,5.35,9.40,32322,Diesel,Dealer,Manual,0
xcent,2015,4.75,7.13,35866,Petrol,Dealer,Manual,1
xcent,2014,4.40,7.13,34000,Petrol,Dealer,Manual,0
i20,2016,6.25,7.60,7000,Petrol,Dealer,Manual,0
verna,2013,5.95,9.40,49000,Diesel,Dealer,Manual,0
verna,2012,5.20,9.40,71000,Diesel,Dealer,Manual,0
i20,2012,3.75,6.79,35000,Petrol,Dealer,Manual,0
verna,2015,5.95,9.40,36000,Petrol,Dealer,Manual,0
i10,2013,4.00,4.60,30000,Petrol,Dealer,Manual,0
i20,2016,5.25,7.60,17000,Petrol,Dealer,Manual,0
creta,2016,12.90,13.60,35934,Diesel,Dealer,Manual,0
city,2013,5.00,9.90,56701,Petrol,Dealer,Manual,0
brio,2015,5.40,6.82,31427,Petrol,Dealer,Automatic,0
city,2014,7.20,9.90,48000,Diesel,Dealer,Manual,0
city,2013,5.25,9.90,54242,Petrol,Dealer,Manual,0
brio,2012,3.00,5.35,53675,Petrol,Dealer,Manual,0
city,2016,10.25,13.60,49562,Petrol,Dealer,Manual,0
city,2015,8.50,13.60,40324,Petrol,Dealer,Manual,0
city,2015,8.40,13.60,25000,Petrol,Dealer,Manual,0
amaze,2014,3.90,7.00,36054,Petrol,Dealer,Manual,0
city,2016,9.15,13.60,29223,Petrol,Dealer,Manual,0
brio,2016,5.50,5.97,5600,Petrol,Dealer,Manual,0
amaze,2015,4.00,5.80,40023,Petrol,Dealer,Manual,0
jazz,2016,6.60,7.70,16002,Petrol,Dealer,Manual,0
amaze,2015,4.00,7.00,40026,Petrol,Dealer,Manual,0
jazz,2017,6.50,8.70,21200,Petrol,Dealer,Manual,0
amaze,2014,3.65,7.00,35000,Petrol,Dealer,Manual,0
city,2016,8.35,9.40,19434,Diesel,Dealer,Manual,0
brio,2017,4.80,5.80,19000,Petrol,Dealer,Manual,0
city,2015,6.70,10.00,18828,Petrol,Dealer,Manual,0
city,2011,4.10,10.00,69341,Petrol,Dealer,Manual,0
city,2009,3.00,10.00,69562,Petrol,Dealer,Manual,0
city,2015,7.50,10.00,27600,Petrol,Dealer,Manual,0
jazz,2010,2.25,7.50,61203,Petrol,Dealer,Manual,0
brio,2014,5.30,6.80,16500,Petrol,Dealer,Manual,0
city,2016,10.90,13.60,30753,Petrol,Dealer,Automatic,0
city,2015,8.65,13.60,24800,Petrol,Dealer,Manual,0
city,2015,9.70,13.60,21780,Petrol,Dealer,Manual,0
jazz,2016,6.00,8.40,4000,Petrol,Dealer,Manual,0
city,2014,6.25,13.60,40126,Petrol,Dealer,Manual,0
brio,2015,5.25,5.90,14465,Petrol,Dealer,Manual,0
city,2006,2.10,7.60,50456,Petrol,Dealer,Manual,0
city,2014,8.25,14.00,63000,Diesel,Dealer,Manual,0
city,2016,8.99,11.80,9010,Petrol,Dealer,Manual,0
brio,2013,3.50,5.90,9800,Petrol,Dealer,Manual,0
jazz,2016,7.40,8.50,15059,Petrol,Dealer,Automatic,0
jazz,2016,5.65,7.90,28569,Petrol,Dealer,Manual,0
amaze,2015,5.75,7.50,44000,Petrol,Dealer,Automatic,0
city,2015,8.40,13.60,34000,Petrol,Dealer,Manual,0
city,2016,10.11,13.60,10980,Petrol,Dealer,Manual,0
amaze,2014,4.50,6.40,19000,Petrol,Dealer,Manual,0
brio,2015,5.40,6.10,31427,Petrol,Dealer,Manual,0
jazz,2016,6.40,8.40,12000,Petrol,Dealer,Manual,0
city,2010,3.25,9.90,38000,Petrol,Dealer,Manual,0
amaze,2014,3.75,6.80,33019,Petrol,Dealer,Manual,0
city,2015,8.55,13.09,60076,Diesel,Dealer,Manual,0
city,2016,9.50,11.60,33988,Diesel,Dealer,Manual,0
brio,2015,4.00,5.90,60000,Petrol,Dealer,Manual,0
city,2009,3.35,11.00,87934,Petrol,Dealer,Manual,0
city,2017,11.50,12.50,9000,Diesel,Dealer,Manual,0
brio,2016,5.30,5.90,5464,Petrol,Dealer,Manual,0
